method,batch,prefill_tokens,decode_steps,phase,original_mean,replacement_mean,relative_reduction,pairs,block_length,ci_low,ci_high
shortcut-silu-d1-s1103-n12000,1,512,32,decode_seconds,1.285090618332227,1.2964281940211853,-0.008822393944227791,30,5,-0.014350430881420628,-0.004481642835114874
shortcut-silu-d1-s1103-n12000,1,512,32,end_to_end_seconds,1.3470286098619302,1.3606165413434306,-0.010087336959304194,30,5,-0.014826371281436712,-0.006439238382500045
shortcut-silu-d1-s1103-n12000,1,512,32,prefill_gpu_ms,59.83709322611491,62.151817830403644,-0.038683774219141265,30,5,-0.056333412098851454,-0.02259268807241721
shortcut-silu-d1-s1103-n12000,1,512,32,decode_gpu_ms,1282.8801920572917,1294.214090983073,-0.00883472906975502,30,5,-0.014305953746949429,-0.004486136218368876
shortcut-silu-d1-s1103-n12000,8,128,32,prefill_seconds,0.07484579440206289,0.074292593387266,0.007391210410903737,30,5,-0.008868884849174474,0.022617818125401867
shortcut-silu-d1-s1103-n12000,8,128,32,decode_seconds,1.3641188689197103,1.366535706135134,-0.001771720390714604,30,5,-0.01481050373669679,0.008818227955170732
shortcut-silu-d1-s1103-n12000,8,128,32,end_to_end_seconds,1.4389657026777665,1.4408292774111033,-0.0012950793266781613,30,5,-0.013531172657623936,0.0085906961245445
shortcut-silu-d1-s1103-n12000,8,128,32,prefill_gpu_ms,72.53465372721354,72.2875872294108,0.00340618566584594,30,5,-0.012398789527273024,0.01804006853654072
shortcut-silu-d1-s1103-n12000,8,128,32,decode_gpu_ms,1362.0391438802083,1364.494991048177,-0.0018030665117101385,30,5,-0.014986426098528849,0.008693963225391309
shortcut-silu-d1-s1103-n12000,8,512,32,prefill_seconds,0.15088854289303222,0.15035132685055336,0.003560350124526712,30,5,-0.0014237593287313999,0.007580741358591658
shortcut-silu-d1-s1103-n12000,8,512,32,decode_seconds,1.3252403032034636,1.3395275397226214,-0.010780864787028888,30,5,-0.019399095841825087,0.0031356772486862416
shortcut-silu-d1-s1103-n12000,8,512,32,end_to_end_seconds,1.4761304209629695,1.4898805351306994,-0.009314972425512158,30,5,-0.016833965696802844,0.003271721595464183
shortcut-silu-d1-s1103-n12000,8,512,32,prefill_gpu_ms,148.7126434326172,148.3123336791992,0.0026918340241821603,30,5,-0.002948663653786987,0.0074730304483852095
shortcut-silu-d1-s1103-n12000,8,512,32,decode_gpu_ms,1322.9689168294271,1337.6473999023438,-0.011095108045391155,30,5,-0.019853698164980838,0.0029098257343146416
structured-eml-d1-s1103-n12000,1,128,32,prefill_seconds,0.05995714248468478,0.059433117198447384,0.008739997680364042,30,5,-0.01352040457630177,0.032552179615737795
structured-eml-d1-s1103-n12000,1,128,32,decode_seconds,1.3394077065090337,1.3602386192729075,-0.01555233157360747,30,5,-0.026940513729015736,-0.005053898231509812
structured-eml-d1-s1103-n12000,1,128,32,end_to_end_seconds,1.399366264914473,1.4196726950506369,-0.014511161691757035,30,5,-0.026471964449034324,-0.0036631260644532926
structured-eml-d1-s1103-n12000,1,128,32,prefill_gpu_ms,58.08836504618327,57.54149424235026,0.0094144636950656,30,5,-0.010567142722726075,0.03092002079732792
structured-eml-d1-s1103-n12000,1,128,32,decode_gpu_ms,1337.1718302408854,1358.1733276367188,-0.015705907738162717,30,5,-0.027240995674888246,-0.005071792353606996
structured-eml-d1-s1103-n12000,1,512,32,prefill_seconds,0.06351414211094379,0.06453563384711743,-0.016082902204509697,30,5,-0.05127964395819484,0.01423718420569331
structured-eml-d1-s1103-n12000,1,512,32,decode_seconds,1.3100984727963805,1.330313994611303,-0.015430536127389649,30,5,-0.027913359340227244,-0.003414465745575024
structured-eml-d1-s1103-n12000,1,512,32,end_to_end_seconds,1.373613741248846,1.3948506493742268,-0.015460611296792104,30,5,-0.028512763375396988,-0.002735229297951447
structured-eml-d1-s1103-n12000,1,512,32,prefill_gpu_ms,61.45305201212565,62.78950208028157,-0.021747497063159926,30,5,-0.053087688820085965,0.006014032401502445
structured-eml-d1-s1103-n12000,1,512,32,decode_gpu_ms,1308.0306193033855,1328.2639444986978,-0.015468540947526144,30,5,-0.027912727753161174,-0.0034595144281741597
structured-eml-d1-s1103-n12000,8,128,32,prefill_seconds,0.07278110980987548,0.07585937088976304,-0.04229478071890935,30,5,-0.10493149318423467,0.015494326350692589
structured-eml-d1-s1103-n12000,8,128,32,decode_seconds,1.331513021637996,1.3534143325562278,-0.016448439153294414,30,5,-0.0270133215339059,-0.004845458452344076
